date,pm25,no2,aqi,year,month,season
2024-03-09,12.325416666666667,16.649583333333336,1.8333333333333333,2024,3,Spring
2024-03-10,6.541250000000001,26.204583333333332,1.625,2024,3,Spring
2024-03-11,18.061249999999998,20.527916666666666,2.2083333333333335,2024,3,Spring
2024-03-12,5.8620833333333335,22.931250000000002,1.4166666666666667,2024,3,Spring
2024-03-13,2.7420833333333334,11.805,1.8333333333333333,2024,3,Spring
2024-03-14,3.920833333333333,14.677083333333334,1.4583333333333333,2024,3,Spring
2024-03-15,1.18375,11.110416666666666,1.7916666666666667,2024,3,Spring
2024-03-16,6.85125,23.68625,1.3333333333333333,2024,3,Spring
2024-03-17,2.8625000000000003,18.042083333333334,1.0,2024,3,Spring
2024-03-18,2.4491666666666667,17.742916666666666,1.4583333333333333,2024,3,Spring
2024-03-19,3.19,20.753333333333334,1.9166666666666667,2024,3,Spring
2024-03-20,10.892916666666666,42.562083333333334,1.6666666666666667,2024,3,Spring
2024-03-21,8.233749999999999,23.184166666666666,1.2916666666666667,2024,3,Spring
2024-03-22,2.3937500000000003,15.79,1.5833333333333333,2024,3,Spring
2024-03-23,0.6683333333333333,6.146249999999999,2.0,2024,3,Spring
2024-03-24,2.124166666666667,15.886249999999999,1.9583333333333333,2024,3,Spring
2024-03-25,6.428333333333334,31.801666666666666,1.9583333333333333,2024,3,Spring
2024-03-26,10.938333333333333,30.737916666666667,1.7083333333333333,2024,3,Spring
2024-03-27,1.4466666666666665,17.22125,1.9166666666666667,2024,3,Spring
2024-03-28,0.7266666666666667,7.716666666666666,2.0,2024,3,Spring
2024-03-29,1.14625,11.387916666666667,1.9166666666666667,2024,3,Spring
2024-03-30,5.56625,37.87166666666666,1.7916666666666667,2024,3,Spring
2024-03-31,6.830000000000001,23.48,1.25,2024,3,Spring
2024-04-01,5.0183333333333335,19.925,1.75,2024,4,Spring
2024-04-02,1.2854166666666667,14.886666666666668,1.7916666666666667,2024,4,Spring
2024-04-03,1.1741666666666666,9.67,2.0,2024,4,Spring
2024-04-04,1.1645833333333333,11.49125,1.9166666666666667,2024,4,Spring
2024-04-05,2.3958333333333335,10.751666666666667,2.0,2024,4,Spring
2024-04-06,3.0883333333333334,8.050833333333333,2.2916666666666665,2024,4,Spring
2024-04-07,1.9545833333333331,5.610833333333333,2.4166666666666665,2024,4,Spring
2024-04-08,3.8470833333333334,18.767916666666668,1.6666666666666667,2024,4,Spring
2024-04-09,0.8029166666666666,6.690416666666667,2.0,2024,4,Spring
2024-04-10,2.652083333333333,17.50375,1.875,2024,4,Spring
2024-04-11,3.5533333333333332,12.909999999999998,1.5,2024,4,Spring
2024-04-12,3.9883333333333333,11.681666666666667,2.0,2024,4,Spring
2024-04-13,4.528333333333333,10.624583333333334,1.9583333333333333,2024,4,Spring
2024-04-14,1.5079166666666666,9.720833333333333,1.875,2024,4,Spring
